date,AAPLclose,axpclose,catclose,baclose,cscoclose,cvxclose,ibmclose,msftclose,pgclose,xomclose
2014-11-18,107.6898,84.6643,88.8167,117.5987,23.0736,98.17,141.0367,44.7772,76.5318,81.4113
2014-11-19,106.9437,84.5895,89.1136,118.4538,23.186999999999998,97.9325,139.0864,44.4037,76.6277,81.2059
2014-11-20,108.4732,84.7017,88.4674,118.5348,23.1826,98.7807,138.6912,43.93,77.3073,81.8393
2014-11-21,108.6224,84.4867,89.1573,119.5068,23.3744,99.4931,138.0125,44.3673,77.0807,82.0191
2014-11-24,110.6322,85.0942,92.965,121.1539,23.4354,100.5702,138.2531,43.7113,77.194,82.8665
2014-11-25,109.6763,85.4307,92.5371,121.3339,23.5662,99.7306,139.3098,43.356,76.7671,81.9335
2014-11-26,110.9819,85.4775,92.7816,121.3069,23.7842,98.5093,138.9748,43.2467,77.3683,81.1289
2014-11-28,110.9166,86.3841,92.3886,120.9289,23.9106,97.6272,139.138,43.5018,77.438,80.8721
2014-12-01,107.3167,86.1224,87.8561,119.1558,24.0981,92.3349,139.327,43.5565,78.7884,77.4995
2014-12-02,106.9064,86.9262,86.4588,119.0568,24.0545,94.7606,138.7857,44.2944,78.4835,79.0488
2014-12-03,108.1188,85.2905,86.9041,118.7778,24.255,96.7028,139.7566,44.1486,79.346,80.6238
2014-12-04,107.7084,85.8326,87.4893,118.1928,24.3683,96.4399,141.346,43.8024,78.4138,81.2744
2014-12-05,107.2514,86.5991,87.0439,118.9938,24.2114,95.227,140.9422,44.4948,78.9191,80.7779
2014-12-08,104.8266,87.4497,86.2666,117.2567,23.976,94.0312,140.2721,44.1122,78.7449,80.3071
2014-12-09,106.4307,87.2627,83.1838,116.6987,23.7406,90.5793,139.0607,43.4517,79.0759,78.4925
2014-12-10,104.4069,86.6926,83.3585,112.1805,23.9062,90.7574,140.0315,43.356,79.0324,78.2186
2014-12-11,104.0992,87.0477,81.2363,111.0375,23.4267,88.934,137.9008,42.7274,78.4138,75.8989
2014-12-12,102.3365,85.0568,80.9481,108.6974,23.5313,88.9764,138.382,42.9734,78.771,76.3525
2014-12-15,100.9329,84.1595,79.0355,109.8764,23.4136,86.8306,133.4934,42.773,78.0217,74.127
2014-12-16,99.5527,82.4771,78.3805,111.8295,23.2611,85.5415,131.5002,42.5179,77.7168,74.3838
2014-12-17,102.0381,84.5334,78.0225,112.5585,23.1782,86.2539,130.0826,41.1422,77.8562,73.9644
2014-12-18,105.0598,87.0851,78.3805,113.1076,23.3744,89.9178,130.5294,41.6706,79.0237,76.1985
2014-12-19,104.2484,86.8328,80.0748,113.6116,24.1068,92.4706,135.4695,43.2923,80.1563,78.0302
2014-12-22,105.3302,87.5057,80.0922,115.4027,24.2114,95.7783,136.1826,43.4198,80.1999,80.153
2014-12-23,104.9572,87.6927,80.625,117.0317,24.6037,95.015,138.6998,43.7113,80.6791,79.8877
2014-12-24,104.4629,87.9357,81.6555,118.1208,24.6299,96.6434,139.3872,44.1395,81.2802,80.9662
2014-12-26,106.3095,88.132,81.8476,118.4718,24.6735,96.2363,139.0263,43.8571,81.1495,80.2729
2014-12-29,106.2349,88.1133,82.29299999999999,119.0658,24.7171,96.0497,139.4731,43.6202,81.4283,79.785
2014-12-30,104.9385,88.1133,81.8389,118.6518,24.813000000000002,96.1091,137.9008,43.2285,80.7139,79.6651
2014-12-31,102.9427,86.9636,80.8608,116.9867,24.7258,95.931,137.5056,42.8367,80.5048,79.6223
2015-01-02,101.9635,86.9449,79.935,116.9597,24.2506,95.1422,137.8407,42.3175,79.3635,79.1344
2015-01-05,99.09100000000001,84.6456,80.2407,116.1497,24.2375,95.4815,139.2325,42.5999,78.7971,79.4597
